lambda,rho
0.6488222698072805, 0.07101449275362318
0.7002141327623126, 0.09637681159420289
0.7130620985010706, 0.11666666666666665
0.7901498929336188, 0.1902173913043478
0.8094218415417559, 0.2105072463768116
0.8865096359743041, 0.4007246376811594
0.8865096359743041, 0.4235507246376811
1.0021413276231264, 0.68731884057971
0.9892933618843683, 0.7101449275362318
1.1434689507494646, 1.039855072463768
1.1370449678800856, 1.0626811594202898
1.2334047109207709, 1.2478260869565216
1.4646680942184154, 1.6688405797101449
1.6638115631691648, 1.7702898550724637
1.7987152034261242, 1.7753623188405796
1.9978586723768736, 1.729710144927536
2.126338329764454, 1.6865942028985506
2.222698072805139, 1.646014492753623
2.3576017130620985, 1.554710144927536
2.5117773019271947, 1.38731884057971
2.7944325481798713, 1.1489130434782608
2.8008565310492504, 1.1210144927536232
2.890792291220557, 1.0753623188405796
2.890792291220557, 1.055072463768116
3.019271948608137, 0.9840579710144927
3.1220556745182013, 0.9307971014492753
3.3340471092077086, 0.8115942028985507
3.423982869379015, 0.7735507246376812
3.5396145610278373, 0.7532608695652173
3.6423982869379015, 0.7101449275362318
3.7516059957173447, 0.6822463768115942
4.034261241970022, 0.5833333333333333
4.43254817987152, 0.44637681159420284
4.612419700214133, 0.3981884057971014
4.82441113490364, 0.36268115942028983
4.972162740899358, 0.32717391304347826
5.139186295503212, 0.29927536231884055
5.312633832976445, 0.2688405797101449
5.4860813704496785, 0.2434782608695652
5.6338329764453965, 0.22826086956521738
5.788008565310492, 0.19782608695652174
6.1862955032119915, 0.175
